grant_id,grant_val
507030,U10 HD063020
507034,UL1 TR000153
508428,106239/Z/14/A
508432,FC001043
508436,FC001043
508440,FC001043
508444,103459/Z/14/Z
509370,U01 NS095678
509374,P30 CA013148
509378,P30 AR048311
509382,R21 AI107748
509386,R01 AR046256
509390,R21 AR057163
509394,R01 AI076562
509398,U54 ES030246
509758,R01 AG037031
509762,R21 AG031372
509826,MR/P014313/1
509830,R00 MH110343
509834,107742/Z/15/Z
510610,R01 CA169117
511370,P30 AG049638
511374,P30 GM103336
511378,R01 CA082312
511382,R01 HL079421
511717,14415
511721,9979
511725,16746
511729,PRIN (2017WNKSLR)
511897,R01 GM044783
511901,F32 GM137543
511905,ACI-1548562
511991,NRF-2015R1D1A3A01020708
512071,11572107
512075,GK199900299012-026
512243,1431AFG123
512329,2017M2A2A6A02019716
512571,17930555
512575,19K06474
512579,17K1816419
512583,K09721
512725,2013/09/D/NZ3/0135
512945,2016-HZ-808
512949,KFJ-STS-ZDTP-024CAS
512953,KFJ-STS-ZDTP-056-2
512957,2017-ZJ-Y14
513295,451-03-68/2020-14
513515,51527805
513519,41974139
513635,2016/23/N/ST8/01155
513639,2018/28/T/ST8/00352
513875,MOST-108-2628-B-002-011
514297,51702082
514413,SNSF 320030_176083
514417,MS
514421,MS
514647,2I01BX000824
514651,1RO3CA216160
514655,"F2373, C2638054, EM054"
514883,31N233
514887,31N256
515063,CARS-36
515159,No. 41871305
515163,No.2017YFC0602204
515255,41771484
515337,2016/21/B/ST8/03152
515437,2013/09/B/NZ3/00003
515967,None
516291,2017A030307040
516295,17KYKT13
516595,N 19-75-30008
516899,BB/L021692/1
516903,MR/L015080/1
517113,680209
517459,P0006123
517545,DK034989
517857,2900603340
518159,Bando pubblicazioni scientifiche 2019-2020
518279,P30 GM106392
518283,Grant to LSU Health Foundation to support research
518413,JP18gm0810006 and JP19gm0810006
518543,11902349
518629,16/01656-5
518633,2009/00402-6
518637,2018/17353-7
518641,305535/2014-5
518645,001
518841,POLAR-ION-GLASS project IP-2018-01-5425
518845,project no: 107M370
519051,E66C18001330003
519055,na
519287,2017HRTZYA and 2017S55RXB
519553,BBS/E/I/00007036
519557,BBS/E/I/00007039
519561,727393-2
519565,BB/P024270/1
519819,KRIBB Initiative Program
519823,"the Next-Generation BioGreen 21 Program (SSAC, Grant #: PJ01318604)"
519827,the Bio & Medical Technology Development Program
520137,MECANO
520141,Ph.d. award to M.R.
520145,R&D budget
520683,JP18H02092
520687,JP18K19157
520691,Leading Initiative for Excellent Young Researchers
